name,yomi,pref,lat,lon,elev
鉢盛山,はちもりやま,長野県,36.08675,137.754722,2447
鉢伏山,はちぶせやま,長野県,36.163139,138.059139,1929
奥三界岳,おくさんがいだけ,長野県・岐阜県,35.681528,137.50725,1810
越百山,こすもやま,長野県,35.679306,137.803333,2613
南木曽岳,なぎそだけ,長野県,35.592361,137.644194,1679
アサヨ峰,あさよみね,山梨県,35.731806,138.241361,2799
奥茶臼山,おくちゃうすやま,長野県,35.484889,138.069167,2473
茶臼岳(南アルプス),ちゃうすだけ,長野県・静岡県,35.369083,138.140528,2604
熊伏山,くまぶしやま,長野県,35.26325,137.895,1653
黒法師岳,くろぼうしがたけ,静岡県,35.196028,138.029444,2068
高塚山,たかつかやま,静岡県,35.1155,138.003611,1621
山伏,やんぶし,山梨県・静岡県,35.304361,138.28525,2013
白木峰,しらきみね,富山県・岐阜県,36.415583,137.112278,1596
人形山,にんぎょうやま,富山県・岐阜県,36.348917,136.939806,1726
猿ヶ馬場山,さるがばばやま,岐阜県,36.225889,136.942861,1875
川上岳,かおれだけ,岐阜県,36.008139,137.1495,1626
鷲ヶ岳,わしがたけ,岐阜県,35.940361,136.971472,1671
医王山,いおうぜん,富山県・石川県,36.512778,136.795917,939
大門山,だいもんざん,富山県・石川県,36.365306,136.803694,1571
大笠山,おおがさやま,富山県・石川県,36.320583,136.789528,1822
三方岩岳,さんぽういわだけ,石川県・岐阜県,36.258011307597,136.84420461136,1736
野伏ヶ岳,のぶせがだけ,福井県・岐阜県,36.012861,136.732333,1674
経ヶ岳(福井),きょうがだけ,福井県,36.046444,136.621778,1625
冠山,かんむりやま,福井県・岐阜県,35.779806,136.409306,1256
藤原岳,ふじわらだけ,三重県・滋賀県,35.158666048566,136.45281942293,1144
蓬莱山,ほうらいさん,滋賀県,35.209583,135.88575,1174
比叡山,ひえいざん,滋賀県・京都府,35.065722,135.834389,848
大和葛城山,やまとかつらぎさん,大阪府・奈良県,34.456056,135.682167,958
倶留尊山,くろそやま,三重県・奈良県,34.530778,136.170194,1037
三峰山,みうねやま,三重県・奈良県,34.448861,136.206306,1235
高見山,たかみやま,三重県・奈良県,34.428583,136.088528,1248
竜門岳,りゅうもんがだけ,奈良県,34.4405,135.897722,904
山上ヶ岳,さんじょうがたけ,奈良県,34.252472,135.941056,1719
護摩壇山,ごまだんざん,奈良県・和歌山県,34.0575,135.566917,1372
愛宕山,あたごやま,京都府,35.060167,135.634111,924
六甲山,ろっこうさん,兵庫県,34.777972,135.263889,931
扇ノ山,おうぎのせん,鳥取県,35.439833,134.440889,1310
那岐山,なぎさん,鳥取県・岡山県,35.17162133296,134.18030717462,1255
道後山,どうごやま,鳥取県・広島県,35.069556,133.232667,1271
伊予富士,いよふじ,愛媛県・高知県,33.788056,133.247972,1756
瓶ヶ森,かめがもり,愛媛県・高知県,33.794722,133.19325,1896
三本杭,さんぼんぐい,愛媛県,33.188389,132.635556,1226
篠山,ささやま,愛媛県・高知県,33.055611,132.659167,1065
脊振山,せふりさん,福岡県・佐賀県,33.436361,130.3685,1054
鶴見岳,つるみだけ,大分県,33.286667,131.429806,1375
涌蓋山,わいたざん,大分県,33.140028,131.164278,1499
大船山,だいせんざん,大分県,33.095028,131.280667,1786
多良岳,たらだけ,佐賀県・長崎県,32.975462961306,130.09251773357,996
傾山,かたむきやま,大分県,32.838944,131.475639,1605
国見岳,くにみだけ,熊本県・宮崎県,32.547,131.018472,1738
高隈山(大箆柄岳),たかくまやま,鹿児島県,31.486278,130.818528,1236
阿寒富士,あかんふじ,北海道,43.373990181102,144.00661374567,1476
黒岳(大雪山),くろだけ,北海道,43.697389334104,142.92028346792,1984
愛別岳,あいべつだけ,北海道,43.707736411558,142.85696345418,2113
白雲岳,はくうんだけ,北海道,43.661383048886,142.90600771594,2230
富良野岳,ふらのだけ,北海道,43.393529015108,142.63515683222,1912
楽古岳,らっこだけ,北海道,42.272422646616,143.11127379493,1471
アポイ岳,あぽいだけ,北海道,42.107844995918,143.02563751806,810
藻岩山,もいわやま,北海道,43.022392539639,141.32229655981,530
ホロホロ山,ほろほろやま,北海道,42.633488858037,141.14251373808,1322
神居尻山,かむいしりやま,北海道,43.500410770264,141.66267752095,947
剣山(北海道),つるぎさん,北海道,42.848508198471,142.88511584526,1205
風不死岳,ふっぷしだけ,北海道,42.716741823854,141.35888455385,1102
漁岳,いざりだけ,北海道,42.821115829119,141.23549538075,1317
燧岳,ひうちだけ,青森県,41.439099897085,141.05291985159,781
釜臥山,かまふせやま,青森県,41.278515904024,141.1199690942,879
階上岳,はしかみだけ,青森県・岩手県,40.400609158568,141.58438942504,740
折爪岳,おりつめだけ,岩手県,40.268648260868,141.37453104276,852
茶臼岳(八幡平),ちゃうすだけ,岩手県,39.95061845475,140.89888601256,1578
大深岳,おおふかだけ,岩手県・秋田県,39.880974145569,140.87971563939,1541
二ツ森,ふたつもり,青森県・秋田県,40.434900531423,140.11793134478,1086
吾妻小富士,あづまこふじ,福島県,37.722112161451,140.26357493588,1707
山形神室岳,やまがたかむろだけ,宮城県・山形県,38.250971,140.471181,1344
鞍掛山(岩手),くらかけやま,岩手県,39.820966641813,141.02307683902,897
中丸山,なかまるやま,山形県,38.135128786796,140.41882051581,1562
長井葉山,ながいはやま,山形県,38.180352700749,139.97901176238,1237
豪士山,ごうしさん,福島県,37.933965405094,140.28065969371,1022
地蔵岳,じぞうだけ,群馬県,36.541039564925,139.17733111361,1674
鬼怒沼山,きぬぬまやま,栃木県・群馬県,36.882622151573,139.37148535214,2140
晃石山,てるいしさん,栃木県,36.360164289698,139.67542113315,419
迦葉山,かしょうざん,群馬県,36.759081745412,139.06235575676,1332
根名草山,ねなくさやま,栃木県,36.842081,139.391317,2329
明神ヶ岳(日光),みょうじんがたけ,栃木県,36.929388325403,139.59993741699,1594
月山(栃木),がっさん,栃木県,36.845852506638,139.65931892395,1287
生瀬富士,なまえふじ,茨城県,36.771368031385,140.39783003973,406
鞍掛山(茨城),くらかけやま,茨城県,36.618464023673,140.6513848085,248
宝篋山,ほうきょうさん,茨城県,36.1675016,140.1300664,461
五頭山,ごずさん,新潟県,37.800824272225,139.34564263539,912
大源太山,だいげんたさん,新潟県,36.9025377,138.9271684,1598
白毛門,しらがもん,群馬県,36.85946984,138.9673162,1720
万太郎山,まんたろうさん,群馬県・新潟県,36.82407977,138.8792676,1954
根子岳,ねこだけ,長野県,36.549222,138.395194,2207
湯ノ丸山,ゆのまるやま,群馬県・長野県,36.434773,138.400995,2101
東篭ノ登山,ひがしかごのとやま,群馬県・長野県,36.419253230493,138.44718100727,2227
弥彦山,やひこやま,新潟県,37.704719456687,138.80917064607,634
角田山,かくだやま,新潟県,37.780603086409,138.83681629379,482
菅名岳,すがなだけ,新潟県,37.701555310015,139.28026101776,909
越後白山,えちごはくさん,新潟県,37.614436977917,139.19492125511,1012
大峰,おおみね,新潟県,36.92902855203,138.78315843318,1172
子持山,こもちやま,群馬県,36.591934954548,138.99780518519,1296
長峰山,ながみねやま,長野県,36.335788531901,137.94069522789,933
二子山,ふたごやま,埼玉県,36.069643528,138.863697611,1165
伊豆ヶ岳,いずがたけ,埼玉県,35.926811697953,139.16060094526,851
川苔山,かわのりやま,東京都,35.850694,139.106833,1363
飛龍山,ひりゅうやま,埼玉県・山梨県,35.839756234562,138.89220178127,2069
雁ヶ腹摺山,がんがはらすりやま,山梨県,35.686295016942,138.88471311451,1874
陣馬山,じんばさん,東京都・神奈川県,35.652111,139.166556,854
大室山,おおむろやま,神奈川県・山梨県,35.510949641243,139.06855369165,1587
節刀ヶ岳,せっとうがたけ,山梨県,35.528423177436,138.6835142322,1736
天子ヶ岳,てんしがたけ,静岡県,35.329100782145,138.53664412186,1330
玄岳,くろたけ,静岡県,35.081664,139.02825,798
堂平山,どうだいらさん,埼玉県,36.005722651758,139.19005515673,875
日和田山,ひわださん,埼玉県,35.89373487,139.3048232,305
笠取山,かさとりやま,埼玉県・山梨県,35.865370330248,138.81992161274,1953
天覧山,てんらんざん,埼玉県,35.862021880223,139.30822461326,197
棒ノ折山,ぼうのおれやま,埼玉県・東京都,35.85867479425,139.15508240461,969
御前山,ごせんやま,東京都,35.770044,139.080639,1405
竜ヶ岳(本栖湖),りゅうがたけ,山梨県,35.446762192196,138.58340348041,1485
鍋割山,なべわりやま,神奈川県,35.443756,139.141383,1272
鋸山(千葉),のこぎりやま,千葉県,35.160341286134,139.84091224525,329
岩茸石山,いわたけいしやま,東京都,35.830672559058,139.1787906913,793
高水山,たかみずさん,東京都,35.828746499717,139.18901040962,759
惣岳山,そうだけさん,東京都,35.818940564786,139.17781877519,756
八丈富士,はちじょうふじ,東京都,33.136944,139.766,854
円海山,えんかいざん,神奈川県,35.361085266739,139.59397050204,153
大平山,おおひらやま,神奈川県,35.337555867494,139.57241757416,159
衣張山,きぬばりやま,神奈川県,35.316928915758,139.56715289287,122
谷急山,やきゅうさん,群馬県,36.303940865935,138.69920412148,1162
鐘撞堂山,かねつきどうやま,埼玉県,36.134461599976,139.18065726757,330
飯盛山,めしもりやま,長野県,35.919399861718,138.47416248321,1643
黒金山,くろがねやま,山梨県,35.84120745,138.7097632,2232
御岳山,みたけさん,東京都,35.782853,139.149514,929
鋸山(奥多摩),のこぎりやま,東京都,35.779209318085,139.10589088989,1109
浅間嶺,せんげんれい,東京都,35.720056638447,139.1022622878,903
扇山,おうぎやま,山梨県,35.637389,139.013778,1138
滝子山,たきごやま,山梨県,35.630323343708,138.85102519301,1615
高川山,たかかわやま,山梨県,35.586005569806,138.9018131782,975
王岳,おうだけ,山梨県,35.513220585504,138.64488959206,1623
景信山,かげのぶやま,東京都・神奈川県,35.645958,139.215825,727
小仏城山,こぼとけしろやま,東京都・神奈川県,35.629804665628,139.22113668707,670
杓子山,しゃくしやま,山梨県,35.485192,138.866175,1597
石割山,いしわりやま,山梨県,35.450430269026,138.90125431906,1413
三国山,みくにやま,神奈川県・山梨県・静岡県,35.400549222639,138.91679575095,1328
鷹巣山,たかのすやま,神奈川県,35.226849353973,139.05423939228,834
明神ヶ岳(箱根),みょうじんがたけ,神奈川県,35.279469,139.052514,1169
檜洞丸,ひのきぼらまる,神奈川県,35.478945069183,139.10280726572,1601
天覚山,てんかくさん,埼玉県,35.886715298793,139.24922278337,445
多峯主山,とうのすやま,埼玉県,35.868153291758,139.29801003874,270
元清澄山,もときよすみやま,千葉県,35.175287776626,140.096059799,344
伊予ヶ岳,いよがたけ,千葉県,35.107292,139.914019,336
富山,とみさん,千葉県,35.098889,139.8815,349
大日山(千葉),だいにちやま,千葉県,35.075167628154,139.93759810925,333
三原山,みはらやま,東京都,33.092053799073,139.81221816727,701
天上山,てんじょうさん,東京都,34.219535116739,139.15313873605,572
御山(御蔵島),おやま,東京都,33.874386382179,139.6018547565,851
大凸部,おおとんぶ,東京都,32.458471811366,139.7593025502,423
三日月山,みかづきやま,東京都,27.097920094822,142.18826115131,174
高山,たかやま,東京都,27.051043265526,142.19361800577,229
乳房山,ちぶさやま,東京都,26.65951165029,142.16151139923,462
小蓮華山,これんげさん,新潟県・長野県,36.773597156286,137.77622567897,2766
白馬乗鞍岳,はくばのりくらだけ,長野県,36.782556846126,137.80146262833,2456
白馬鑓ヶ岳,はくばやりがたけ,富山県・長野県,36.73135867465,137.75530950734,2903
祖父岳,じいだけ,富山県,36.411128242228,137.59128114807,2825
僧ヶ岳,そうがだけ,富山県,36.761729202924,137.56373160846,1855
大日岳(立山),だいにちだけ,富山県,36.599297792064,137.54996148494,2501
真砂岳,まさごだけ,富山県,36.586624016856,137.61998468812,2861
浄土山,じょうどさん,富山県,36.568426035812,137.60373294353,2831
北ノ俣岳,きたのまただけ,富山県・岐阜県,36.421152917571,137.51228959793,2662
錫杖岳,しゃくじょうだけ,岐阜県,36.281856796757,137.54728097395,2168
南岳,みなみだけ,長野県・岐阜県,36.318765763864,137.65074306482,3032
涸沢岳,からさわだけ,長野県・岐阜県,36.296465663008,137.64666136118,3110
中山,なかやま,富山県,36.639257346267,137.5531083865,1255
西岳(八ヶ岳),にしだけ,長野県,35.949928882455,138.33498028045,2398
三ツ頭,みつがしら,山梨県,35.942181157683,138.36409505794,2580
三ノ沢岳,さんのさわだけ,長野県,35.766658573527,137.79409457823,2846
にゅう,にゅう,長野県,36.03955401393,138.3703521809,2351
霧訪山,きりとうやま,長野県,36.063968694444,137.95105075,1305
栗沢山,くりさわやま,山梨県,35.737882022922,138.23416003155,2714
荒川中岳,あらかわなかだけ,静岡県,35.497102436382,138.16841840744,3083
守屋山,もりやさん,長野県,35.967516051152,138.09348082109,1650
日向山,ひなたやま,山梨県,35.801814656347,138.27320330729,1660
朝日岳(寸又峡),あさひだけ,静岡県,35.206865492579,138.1322979169,1826
鞍掛山(山梨),くらかけさん,山梨県,35.790946957413,138.25434825608,2037
御池山,おいけやま,長野県,35.408875884886,138.00902269073,1905
鳳来寺山,ほうらいじさん,愛知県,34.982814845912,137.58298343234,695
猿投山,さなげやま,愛知県,35.205896311501,137.16675261005,629
石動山,せきどうさん,石川県,36.965529855983,136.97100300305,564
別山(白山),べっさん,石川県・岐阜県,36.105289113372,136.76579126627,2399
赤兎山,あかうさぎやま,石川県・福井県,36.067447053108,136.66186202621,1628
霊仙山,りょうぜんざん,滋賀県,35.280458,136.376764,1083
御池岳,おいけがたけ,滋賀県,35.178974411689,136.41481161118,1247
竜ヶ岳(鈴鹿),りゅうがだけ,三重県・滋賀県,35.119265375428,136.44516275379,1099
青葉山,あおばやま,福井県,35.505108,135.483797,693
奥獅子吼山,おくししくやま,石川県,36.417526812271,136.66772506424,928
富士写ヶ岳,ふじしゃがだけ,石川県,36.188578,136.363872,941
取立山,とりたてやま,福井県,36.10679189326,136.60889233632,1307
金比羅山,こんぴらやま,岐阜県,35.428243765608,136.94547146833,382
釈迦ヶ岳(鈴鹿),しゃかがだけ,三重県・滋賀県,35.06565,136.441544,1092
入道ヶ岳,にゅうどうがたけ,三重県,34.973856881712,136.43384164713,906
宝達山,ほうだつさん,石川県,36.781919,136.813053,637
遣水観音山,やりみずかんのんやま,石川県,36.398853096449,136.56655574218,402
銚子ヶ峰,ちょうしがみね,岐阜県,36.061687904157,136.7655539034,1810
大日山(加賀),だいにちざん,石川県,36.162036499851,136.49331710526,1368
銀杏峰,げなんぽ,福井県,35.88645044386,136.46491478209,1441
越知山,おちさん,福井県,35.999921333242,136.03204689213,612
横山岳,よこやまだけ,滋賀県,35.601502401591,136.26161584849,1131
岩籠山,いわごもりやま,福井県,35.582406419652,136.07876251462,765
赤坂山,あかさかやま,福井県・滋賀県,35.520077281005,136.02338948783,823
綿向山,わたむきやま,滋賀県,35.013690972968,136.34160561653,1110
雨乞岳,あまごいだけ,滋賀県,35.02107525,136.384117556,1238
金華山(岐阜),きんかざん,岐阜県,35.433338289672,136.7814374857,328
八木山,やぎやま,岐阜県,35.415080338229,136.92902537131,296
音羽富士,おとわふじ,愛知県,34.886536812462,137.32081077286,381
粟ヶ岳(静岡),あわがたけ,静岡県,34.841641267272,138.06727589923,532
竜爪山,りゅうそうざん,静岡県,35.088198447783,138.40357104055,1051
十枚山,じゅうまいざん,山梨県・静岡県,35.253600826743,138.37804076465,1726
生駒山,いこまやま,大阪府・奈良県,34.678453130032,135.67929241664,642
岩湧山,いわわきさん,大阪府,34.374025772934,135.55100193522,897
大普賢岳,だいふげんだけ,奈良県,34.227804707031,135.96274363243,1780
弥山(大峰),みせん,奈良県,34.179952919072,135.9093696868,1895
烏帽子山,えぼしやま,和歌山県,33.696092452304,135.9008278627,909
金糞岳,かなくそだけ,岐阜県・滋賀県,35.550108859779,136.33708819739,1317
池田山,いけだやま,岐阜県,35.440951873524,136.51696430306,923
蛇谷ヶ峰,じやたにがみね,滋賀県,35.320382699869,135.92861766752,901
笹間ヶ岳,ささまがだけ,滋賀県,34.918307376818,135.93932507076,432
妙見山,みょうけんさん,大阪府・兵庫県,34.928697538548,135.46747235717,659
箕面山,みのおさん,大阪府,34.850313726494,135.46899393231,355
摩耶山(六甲),まやさん,兵庫県,34.732895389409,135.20421357369,702
河内飯盛山,かわちいいもりやま,大阪府,34.726436138269,135.65368021499,314
高安山,たかやすやま,大阪府・奈良県,34.616893924674,135.65754868794,487
高尾山(大阪),たかおやま,大阪府,34.592089151889,135.64075907731,278
経ヶ峰,きょうがみね,三重県,34.766454496504,136.37443900108,819
長坂山,ながさかやま,三重県,34.5626297685079,136.081619,585
局ヶ岳,つぼねがだけ,三重県,34.460352873809,136.32706043812,1029
明神平,みょうじんだいら,三重県・奈良県,34.366531807231,136.0904493928,1323
天和山,てんなさん,奈良県,34.187476942919,135.83862524795,1284
朝熊ヶ岳,あさまがたけ,三重県,34.460853438074,136.78136979711,555
立烏帽子山,たてえぼしやま,広島県,35.05189584865,133.06548882695,1299
恐羅漢山,おそらかんざん,島根県・広島県,34.595319706843,132.12968863382,1346
弥山(宮島),みせん,広島県,34.279583282952,132.31957197189,535
竜王山,りゅおうざん,徳島県・香川県,34.115420497612,134.0482231063,1059
稲叢山,いなむらやま,高知県,33.747049,133.359319,1506
大峯山,おおみねやま,広島県,34.415744092683,132.21693456173,1050
紫雲出山,しうでやま,香川県,34.243594729698,133.59582602978,352
沓掛山,くつかけやま,愛媛県,33.84918954621,133.27005409542,1691
平家平,へいけだいら,愛媛県・高知県,33.814668262905,133.32647863787,1693
赤星山,あかぼしやま,愛媛県,33.919267552347,133.45802330318,1453
横倉山,よこぐらやま,高知県,33.535012528656,133.20327488013,800
梶ヶ森,かじがもり,高知県,33.759268379917,133.75156581402,1400
工石山,くいしやま,高知県,33.669034334253,133.50683569908,1176
粟ヶ岳(山口),あわがたけ,山口県,34.184135344349,131.515853405,248
吉和冠山,よしわかんむりやま,広島県,34.468585163022,132.07613506726,1338
深入山,しんにゅうざん,広島県,34.649929892148,132.20676684301,1152
火山,ひやま,広島県,34.453897814038,132.43374117273,488
絵下山,えげさん,広島県,34.319055494526,132.53969375475,593
白木山,しらきやま,広島県,34.52132356752,132.5754747235,889
比婆山,ひばやま,広島県,35.06498881009,133.05634349379,1260
泉山,いずみがせん,岡山県,35.202036697943,133.95964355363,1208
三徳山,みとくさん,鳥取県,35.385945899259,133.96350006734,899
大江山,おおえやま,京都府,35.453451390526,135.10669646172,832
岩屋山,いわややま,兵庫県,35.23546992426,134.97709631894,718
五台山,ごだいさん,兵庫県,35.223102928028,135.06860956324,655
福智山,ふくちやま,福岡県,33.742224600741,130.80387633835,900
天山,てんざん,佐賀県,33.338920505749,130.14292895351,1046
紫尾山,しびさん,鹿児島県,31.980752996145,130.36784239107,1066
甫与志岳,ほよしだけ,鹿児島県,31.264145026018,130.99010753623,967
野間岳,のまだけ,鹿児島県,31.40447043284,130.15818408973,591
宝満山,ほうまんざん,福岡県,33.539796806898,130.5690478855,829
高城山,たかじょうやま,福岡県,33.768401354802,130.95276281216,419
十坊山,とんぼやま,福岡県・佐賀県,33.472530030531,130.06817139098,535
金立山,きんりゅうさん,佐賀県,33.346485319995,130.30313016176,502
鞍岳,くらだけ,熊本県,32.953251255721,130.93385149646,1117
阿蘇根子岳,あそねこだけ,熊本県,32.885187216262,131.15087006778,1408
於茂登岳,おもとだけ,沖縄県,24.427074615047,124.18337111528,526
作礼山,さくれいざん,佐賀県,33.356952713949,130.06593367459,887
鏡山,かがみやま,佐賀県,33.4294907728959,130.023958,284
